,product,category
0,"HealthSmart Folding Walking Stick, Soft Comfort Grip Collapsible Walking Stick, Adjustable Folding Walking Cane, Lavender",Health_Personal_Care_v1_00
1,SVETOL Green Coffee Bean Extract - 90 Vegetarian Capsules - Special Formulated and Scientifically Evaluated for Quick Results - Take 2 for 800 mg of Powerful Weight Loss - Full 30-Day Supply with Every Bottle,Health_Personal_Care_v1_00
2,"Sleep Mask by Bedtime Bliss® - Contoured & Comfortable With Moldex® Ear Plug Set. Includes Carry Pouch for Eye Mask and Ear Plugs - Great for Travel, Shift Work & Meditation",Health_Personal_Care_v1_00
3,"Sheer TOTAL Multivitamin for Men - 29 Vitamins, Minerals, and Whole Food Sources, 60 Men's Multivitamin Capsules, 30 Day Supply",Health_Personal_Care_v1_00
4,QIYUN.Z Long Curly Wavy Half White Black Mix Heat Resistant Fibre Synthetic Hair Full Cosplay Anime Costume Wig,Health_Personal_Care_v1_00
5,Parker 91R Super Heavyweight Double Edge Safety Razor & 5 Shark Chrome Blades,Health_Personal_Care_v1_00
6,"Finish All in 1 Powerball Fresh, 54ct, Dishwasher Detergent Tablets",Health_Personal_Care_v1_00
7,MuscleTech Mass Tech Milk Chocolate 7 lbs,Health_Personal_Care_v1_00
8,Celestial Seasonings Herbal Tea Fruit Sampler - 18 Tea Bags,Health_Personal_Care_v1_00
9,H2EO Ultrasonic Diffuser Blue Lights Model,Health_Personal_Care_v1_00
10,pH Test Strips by Vaxa -100 Strips,Health_Personal_Care_v1_00
11,"AMBROLEY BEST BADGER MEN'S SHAVING BRUSH - Hand Crafted To Provide The Most Luxurious Shave Lather of Your Life. Our Brushes Outperform Pure Badger, Boar Hair and Synthetics And Our Custom Wood Handle is Second to None",Health_Personal_Care_v1_00
12,"EO Organic Deodorant Spray, Citrus - 4 Fl Oz",Health_Personal_Care_v1_00
13,"Sportsheets Impression Leather Crop, Heart",Health_Personal_Care_v1_00
