,text,id,category
0,"PureSpa Essential Oil Diffuser — Compact Ultrasonic Aromatherapy Diffuser With Ionizer, Optional Color-Changing Light, and Up to 7 Hours Continuous Operation
I would rate the diffuser a 5 because of the length of time it is able to run and the features it includes such as lights and auto shut off. It gives the entire room a great smell.",R3KJ5VMHQMFSXQ,Health_Personal_Care_v1_00
1,"Edens Garden Pure Therapeutic Grade Essential Oils (Pack of 2, 10ml bottles) GC/MS Tested
I use tea tree for everything.  I love it on mosquito bites.  I put it on immediately and it stops the itch right away.<br />Put it on any kind of scratch or cut and it helps the healing.",R2LG2EWJAW6VW9,Health_Personal_Care_v1_00
2,"BDEALS 9""x5""x2"" Surgical Instrument Tray with Lid Holloware Dental Medical
I like this surgical tray. I use it to keep my sanitized face brushes I use at my spa. The brushes are tightly covered and I feel quiet happy that they are dust free for my next use for my clients.",R18CNUZUN2O7MO,Health_Personal_Care_v1_00
3,"All in one deep foot & leg spa bath massager w/ motorized rolling massage, heat, wave, O2 bubbles, water fall, digital temperature control LED display FBD2535
Overall I really like the unit. Better for a woman than a man as our legs are obviously wider. You feel a bit pinched. You can of course put in one leg at a time.",R1HX047Q2LV7DR,Health_Personal_Care_v1_00
4,"Skin So Soft 5 Fl.oz.
Taking the lid that comes with it off and putting the spritzing device in was a joke, this stuff goes EVERYWHERE even though it was securely screwed down. What a waste.",RSCFFR3AD8LA7,Health_Personal_Care_v1_00
5,"Wet-Stop3 Bedwetting Enuresis Alarm with Loud Sound and Strong Vibration for Boys or Girls, Proven Solutions for Bedwetters
Very good product. Works well, alarm and vibration loud enough to wake my son (which I thought near impossible). Price is affordable; I'm very satisfied with this product.",R3VM0CO7D4PS1S,Health_Personal_Care_v1_00
6,"#1 Brain Supplement Nootropic - Mind & Energy Booster - Clarity by Neovicta - Improve Focus, Memory & Mood - Promotes Superior Brain Function in Men & Women - 30 Day Supply - Money Back Guarantee
Amazing, Ever since i bought these vitamins i take two a day and they give me more energy than i've ever had. I can actually focus more on things then i use to.AMAZING PRODUCT, LOVE IT",R3B93EAHQFNNBE,Health_Personal_Care_v1_00
7,"Chapstick Lip Balm Variety Pack (10 Sticks X 4g Each)
Great value! We can't find these in stores near us any more so it's great to be able to order them in bulk. Nice variety of flavors too, nothing too extreme.",R18KSLC756EMC,Health_Personal_Care_v1_00
8,"Alka-Seltzer Plus Night Cold and Flu Liquid Gels, 20 Count
Works!  I only weight 85 pounds so I only took one nighttime tablet works amazing.  Be careful you may feel a little hung over the next morning.  Follow directions.",R1UST8X5VSGHQ6,Health_Personal_Care_v1_00
9,"HipGirl Girls / Women Grosgrain Ribbon or Satin Fabric Wrapped Headbands
I bought these for myself.  I have a hard time finding headbands that aren't too big. I like these because they do not hurt my head. I love the variety of colors to pick from!",RQDAS4GE899F8,Health_Personal_Care_v1_00
10,"Wool Dryer Balls (6 Pack) Anti-Static Cling, Reduce Drying Time, Reusable Over 1,000 Loads, Save Money - 100% Natural Organic Eco Laundry Balls Fabric Softener - Sensitive Skin, Babies, & Green Mom's!
I waited a few weeks to try them out before leaving feedback.  I love them!  I do run a few balls under water to cut down static.  So easy to use.  Will buy again!",R1XGG6XQ3SZLCT,Health_Personal_Care_v1_00
11,"BulkSupplements Pure L-Citrulline DL-Malate 2:1 Powder
This is one of the best post workout supplement's on the market and coming from Bulk Supplement's you know is pure and don't have to worry mix 8 grams in a juice because it is very bitter.",R19HMSN591ZKN9,Health_Personal_Care_v1_00
12,"Fitbit Flex Wireless Wristband with Sleep Function, Black
Works great!  Just what I was looking for.  Helps to motivate me more with working out and walking.  I like how you can adjust your daily goals for the number of steps, miles, calories burned, etc.",R1YQHCRJ5BAPUZ,Health_Personal_Care_v1_00
13,"Lestoil Concentrated Heavy Duty Cleaner - 48 oz - 2 pk
This is the best cleaner ever made.  You can dilute it, you can use it full strength - it's the best thing for removing grease and oil and it has a nice smell.  I will never be without it.",R3GI5WFDN2RL2J,Health_Personal_Care_v1_00
14,"Due North Foot Rubz Foot Massage Roller
Had a bad case of Plantar fasciitis, using the roller in an ice water tub for 2 weeks twice a day cleared it up.  It hurts a lot to roll in water with ice cubes but it does work!",R8J41JHXSDOIA,Health_Personal_Care_v1_00
15,"#1 Maximize Stamina, Energy and Endurance
The product makes things easier. My husband reacts well to the product, makes him more in the mood, and keeps more excitement in our lives. We like this natural alternative that works well.",R35Z8Z6SCDYDF9,Health_Personal_Care_v1_00
16,"Cellucor No3 Chrome Nitric Oxide Supplement, 90 Count
Product works. I crack open the tablets and pour into my pre-workout or sometimes I just mix tablet content with water and drink it, wait 30 min and I feel the extra push I need.",RMB5KYA0BND7A,Health_Personal_Care_v1_00
17,"Fitbit Charge HR Wireless Activity Wristband
This items broke after 60 days.  I guess it is due from the sweat when working out.  It is very disappointing.  I am very upset that I can not get a replacement via Amazon or FitBit.",ROT8BI1EKU80L,Health_Personal_Care_v1_00
18,"CandidaFX - Extra Strength Candida Cleanse - With Herbs & Enzymes To Help Reduce Unpleasant Effects from Die-Off of Yeast - Easy & Effective Nutritional Supplement For Women And Men
I have been taking this for about 2 weeks now.  I think this is going to be a great product for me as I am experiencing some positive effects from this.",R10WJSWN1A7X0Z,Health_Personal_Care_v1_00
19,"Raw King Size Organic Cigarette Rolling Papers
I think that king size papers is the only way to go and I love the fact that these are made with hemp, unbleached and not refined. Only ones I'll ever buy",R2Q4C394ESA9KQ,Health_Personal_Care_v1_00
20,"United Surgical Tens 7000 Tens Unit - Tens Machine for Pain Management, Back Pain and Rehabilitation
I love it! It does exactly what was promised. It's simple to use and works great! It's helped to release my knotted muscles and provide maximum pain relief.",R2QJ0K7I03O9U,Health_Personal_Care_v1_00
21,"Doctor Danielle Turmeric Curcumin with Bioperine (120 Capsules)
I have been using this brand to help keep gut inflammation under control. I find that it helps immensely.  It is part of my daily supplements and I plan to continue taking them! :-)",R3F9W89X3IOKUR,Health_Personal_Care_v1_00
22,"Poise Ultimate Absorbency Pads
Thick pad.  Incontinent 95-year-old woman sleeps through the night with no leaks.  She reports feeling drier than with other comparative (thick) products.",RPPHOOQKR9FPE,Health_Personal_Care_v1_00
23,"Omron 10 Series Wireless Upper Arm Blood Pressure Monitor with Cuff that fits Standard and Large Arms (BP786/BP786N) with Bluetooth Smart Connectivity
This is the second one that we ordered because we are giving one as a gift to my 83 year old grandma. Very easy to use, tracks your results for two users.",R2IIJPXE4L7BM,Health_Personal_Care_v1_00
