,A,B,answer
0,This machine broke after 3 times. I tried to return it to the seller but it says &#34;no return&#34; when I try. So disappointing as it was something the kids looked forward to for the summer.,"Works great, used it for a backyard movie night and quickly made snow cones for about 20 kids...no lines no waiting.. (well a little waiting, it is sno cones after all!)",B
1,We received the unit 2 weeks before the promised shipping date.  The size is what we wanted and looks great and will be a geat addition to our down stairs rec. room.,"It is way too loud!!!!  If you are buying this to be used in the house, don't buy it. Way too loud!!!!<br /><br />We just leave it outside in our backyard. For that purpose, I think it is okay.",A
2,Love it! Easy to use and pays for it self in no time:) Everyone should have one of these Easy Go Washers:) Learned how to make my own soap too which also saves me money:),Drain spout broke after first use--spout tube separated from coupler/bushing that plunges into main body drain hole. Poor quality. Send a replacement drain spout if you have any integrity.,A
3,I researched a lot before buying this and unfortunately the negative reviews about how it doesn't clean the dishes turned out to be right (although installation was no prob).,So I have to say -- this ... thing ... is ... awesome.  We've used it for a couple years now -- and it's still going strong.  LOVE THIS MACHINE.  I highly recommend.,B
4,I install this filter on kenmore refergerator repacing oe part # 46-9930 two days later the filter pop out by itself. Comparing the two filter the waterfall filter locking tap is a bit smaller.,Filter arrived as ordered. Installation was a snap and product worked perfectly as advertised. I will reorder this filter from Waterfall again in six months.,B
5,"When I first took this out of the box, I was worried I'd bitten of LESS than I could chew... however it holds everything I need! Sleek design, works as expected and looks awesome!",Terrible microwave. doesn't heat the food yet the outside of the microwave gets hot. never had a microwave that gets hot on the outside. working with the supplier to replace it.,A
6,Did not last a month!!!! It appeared to be defective and use from the beginning but I had to give it a try because I needed my washer up and running. It lasted about 15 to 20 washes.,The part worked perfectly and fixed the problem with my Whirlpool Duet washer!  Very easy installation! Save me a ton of money on a repair man and made me feel like a real Mr Fix It!!,B
7,"My knees seem to feel better. Today is 9-6-2015. The Knee Sleeves are fading, and they were not even washed yet. I feel that this happened that I should get another pair at no cost.","I thought this was to relieve pain and keep knee secured, but instead it feels like a legging on half of my leg. It still does not secure my knee to where I will feel it is safe to run/walk.",A
8,"I love it. As good as the factory filter, maybe better. Don't buy the HDX home depot brand, flow rate is reduced to less that 50%, and they cost more than the Waterfall filter.","Read some of the reviews about leaking but still gave it a shot.  Was pleased with speed of delivery, but have noticed significant leaking.  Will stick to ordering the brand name.",A
9,"I would give it zero if there was any, when i got it i followed all the directions and when truning it on it makes a loud noice, i am going to send it back as soon.","on;y problem I had is it is lower to the ground and one has to pop open the water bottle before setting into container, otherwise i would have rated it 5 stars",B
10,I have extremely dry skin during the winter months.  I purchased these cotton gloves to wear while I sleep during winter nights while moisturizing my hands.  They are a big help!,"The gloves I received have 5 fingers,with no thumb.  All 5 protuberances sprout from the same line, and are too narrow to fit fingers into. Unwearable crap.",A
11,"The oven  stopped working  1 month after I got it, Samsung is unhelpful, a repair guy came said he fixed it. It is still not working,<br />I have been chasing Samsung for 2 weeks.",We love it. It works perfectly. The only thing I didn't realize until we got it is there is no timer on it that you can use alone without using the microwave itself.,B
